Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
5895,2021,2,DE 614,Total Grades Given for are,16.0,27.0,,,71,15.0,11.0,1.0,,,,1.0,,,,,,,,,
5896,2021,2,DE 616,Total Grades Given for are,3.0,11.0,,,17,3.0,,,,,,,,,,,,,,,
5897,2021,2,DE 618,Total Grades Given for are,8.0,8.0,,1.0,32,15.0,,,,,,,,,,,,,,,
5898,2021,2,DE 620,Total Grades Given for are,7.0,4.0,,,16,3.0,1.0,,,,,1.0,,,,,,,,,
5899,2021,2,DE 622,Total Grades Given for are,15.0,,,1.0,16,,,,,,,,,,,,,,,,
5900,2021,2,DE 624,Total Grades Given for are,13.0,7.0,,1.0,28,7.0,,,,,,,,,,,,,,,
5901,2021,2,DE 628,Total Grades Given for are,8.0,3.0,,,16,5.0,,,,,,,,,,,,,,,
5902,2021,2,DE 630,Total Grades Given for are,11.0,,,1.0,17,5.0,,,,,,,,,,,,,,,
5903,2021,2,DE 632,Total Grades Given for are,2.0,7.0,,,12,3.0,,,,,,,,,,,,,,,
5904,2021,2,DE 634,Total Grades Given for are,3.0,4.0,,,12,2.0,2.0,1.0,,,,,,,,,,,,,
5905,2021,2,DE 636,Total Grades Given for are,3.0,3.0,,,12,3.0,3.0,,,,,,,,,,,,,,
5906,2021,2,DE 638,Total Grades Given for are,2.0,5.0,,,12,3.0,2.0,,,,,,,,,,,,,,
